alert_time,regime,direction,entry_price,sl_price,tp_price,lot_size,atr,score,decision,outcome,exit_price,pnl,partial_pnl,net_pnl,pnl_pips,duration_bars,be_applied,partial_closed
2026-02-12 16:15:00+00:00,BREAKOUT,sell,4955.29990234375,5004.555880301339,4845.8421735491065,6.1332,18.243,0.45,approve,sl_hit,5004.555880301339,-302.1,0.0,-302.1,-49.26,102,False,False
2026-02-13 14:00:00+00:00,TREND,buy,5013.99990234375,4982.969301060269,5082.956794084822,9.5408,11.4928,0.45,approve,sl_hit,5015.723824637277,16.45,0.0,16.45,1.72,6,True,False
2026-02-16 00:05:00+00:00,TREND,sell,5033.4,5058.201164899553,4978.286300223214,11.9505,9.1856,0.25,approve,trailing_sl,4997.022739955357,217.36,197.59,414.95,36.38,44,True,True
2026-02-17 05:30:00+00:00,TREND,sell,4902.1998046875,4940.809654017857,4816.400139508928,7.8914,14.2999,0.25,approve,sl_hit,4940.809654017857,-304.68,0.0,-304.68,-38.61,28,False,False
2026-02-17 14:00:00+00:00,BREAKOUT,sell,4889.1001953125,4926.649424525669,4805.657463727678,7.952,13.9071,0.55,approve,sl_hit,4926.649424525669,-298.59,0.0,-298.59,-37.55,59,False,False
2026-02-18 16:15:00+00:00,TREND,buy,5018.3001953125,5003.199518694197,5051.857254464286,19.3779,5.5928,0.35,approve,sl_hit,5019.139121791295,16.26,0.0,16.26,0.84,9,True,False
2026-02-20 15:05:00+00:00,TREND,sell,5040.4,5079.20280064174,4954.171554129464,7.5496,14.3714,0.35,approve,sl_hit,5079.20280064174,-292.94,0.0,-292.94,-38.8,17,False,False
2026-02-20 19:55:00+00:00,TREND,buy,5102.99990234375,5092.045560128348,5127.3428850446435,26.2074,4.0572,0.35,approve,trailing_sl,5115.831598772322,168.14,191.39,359.53,12.83,12,True,True
2026-02-23 07:10:00+00:00,TREND,sell,5168.6001953125,5185.0894810267855,5131.957338169643,17.8465,6.1071,0.4,approve,trailing_sl,5152.428669084821,144.3,196.18,340.49,16.17,3,True,True
2026-02-24 03:15:00+00:00,TREND,buy,5208.20009765625,5189.763124302456,5249.171149553572,16.3305,6.8285,0.35,approve,sl_hit,5189.763124302456,-301.09,0.0,-301.09,-18.44,9,False,False
2026-02-24 12:30:00+00:00,TREND,sell,5177.6001953125,5194.687545340402,5139.6283063616065,17.268,6.3286,0.45,approve,sl_hit,5176.650898088727,16.39,0.0,16.39,0.95,6,True,False
2026-02-24 16:30:00+00:00,TREND,buy,5156.1,5138.762161690848,5194.6285295758935,17.0374,6.4214,0.35,approve,sl_hit,5157.063213239398,16.41,0.0,16.41,0.96,3,True,False
2026-02-25 06:20:00+00:00,TREND,buy,5210.3998046875,5191.268338448661,5252.9141741071435,15.4573,7.0857,0.25,approve,sl_hit,5191.268338448661,-295.72,0.0,-295.72,-19.13,50,False,False
2026-02-25 14:50:00+00:00,TREND,buy,5206.99990234375,5186.209940011161,5253.1998186383935,13.9397,7.7,0.45,approve,sl_hit,5208.1549002511165,16.1,0.0,16.1,1.15,5,True,False
2026-02-25 20:40:00+00:00,TREND,sell,5199.79990234375,5221.708398437499,5151.11435546875,13.2427,8.1143,0.35,approve,sl_hit,5198.582763671875,16.12,0.0,16.12,1.22,1,True,False
2026-02-26 10:15:00+00:00,TREND,buy,5199.6,5188.896428571429,5223.385714285715,27.1358,3.9643,0.4,approve,sl_hit,5188.896428571429,-290.45,0.0,-290.45,-10.7,4,False,False
2026-02-26 17:00:00+00:00,TREND,buy,5198.6,5179.7580078125,5240.47109375,15.1067,6.9785,0.35,approve,sl_hit,5179.7580078125,-284.64,0.0,-284.64,-18.84,11,False,False
2026-02-27 13:10:00+00:00,TREND,buy,5231.49990234375,5216.881556919643,5263.985114397322,19.0821,5.4142,0.45,approve,trailing_sl,5249.103055245536,167.95,185.97,353.92,17.6,2,True,True
